x,y
7.605379441356980e-01,-5.912208941833919e-02
7.763793972813827e-01,-6.035314896814882e-02
7.922206594565225e-01,-6.158416827178902e-02
8.080617267637594e-01,-6.281514650790940e-02
8.239025953057354e-01,-6.404608285515956e-02
8.397432611850922e-01,-6.527697649218910e-02
8.555837205044720e-01,-6.650782659764760e-02
8.714239693665166e-01,-6.773863235018471e-02
8.872640038738678e-01,-6.896939292845002e-02
9.031038201291678e-01,-7.020010751109311e-02
9.189434142350583e-01,-7.143077527676360e-02
9.347827822941817e-01,-7.266139540411110e-02
9.506219204091794e-01,-7.389196707178519e-02
9.664608246826936e-01,-7.512248945843550e-02
9.822994912173663e-01,-7.635296174271163e-02
9.981379161158392e-01,-7.758338310326317e-02
1.013976095480755e+00,-7.881375271873974e-02
1.029814025414754e+00,-8.004406976779092e-02
1.045651702020480e+00,-8.127433342906633e-02
1.061489121400573e+00,-8.250454288121557e-02
1.077326279657677e+00,-8.373469730288824e-02
1.093163172894433e+00,-8.496479587273395e-02
1.108999797213483e+00,-8.619483776940230e-02
1.124836148717469e+00,-8.742482217154289e-02
1.140672223509032e+00,-8.865474825780534e-02
1.156508017690815e+00,-8.988461520683924e-02
1.172343527365460e+00,-9.111442219729418e-02
1.188178748635609e+00,-9.234416840781978e-02
1.204013677603903e+00,-9.357385301706565e-02
1.219848310372985e+00,-9.480347520368139e-02
1.235682643045496e+00,-9.603303414631660e-02
1.251516671724078e+00,-9.726252902362087e-02
1.267350392511374e+00,-9.849195901424383e-02
1.283183801510026e+00,-9.972132329683506e-02
1.299016894822674e+00,-1.009506210500442e-01
1.314849668551962e+00,-1.021798514525208e-01
1.330682118800530e+00,-1.034090136829144e-01
1.346514241671022e+00,-1.046381069198748e-01
1.362346033266079e+00,-1.058671303420515e-01
1.378177489688343e+00,-1.070960831280941e-01
1.394008607040455e+00,-1.083249644566522e-01
1.409839381425058e+00,-1.095537735063754e-01
1.425669808944795e+00,-1.107825094559133e-01
1.441499885702305e+00,-1.120111714839155e-01
1.457329607800233e+00,-1.132397587690316e-01
1.473158971341219e+00,-1.144682704899112e-01
1.488987972427906e+00,-1.156967058252040e-01
1.504816607162935e+00,-1.169250639535595e-01
1.520644871648948e+00,-1.181533440536273e-01
1.536472761988588e+00,-1.193815453040571e-01
1.552300274284496e+00,-1.206096668834984e-01
1.568127404639314e+00,-1.218377079706009e-01
1.583954149155685e+00,-1.230656677440141e-01
1.599780503936250e+00,-1.242935453823876e-01
1.615606465083650e+00,-1.255213400643711e-01
1.631432028700529e+00,-1.267490509686142e-01
1.647257190889528e+00,-1.279766772737664e-01
1.663081947753288e+00,-1.292042181584774e-01
1.678906295394452e+00,-1.304316728013967e-01
1.694730229915663e+00,-1.316590403811740e-01
1.710553747419560e+00,-1.328863200764589e-01
1.726376844008788e+00,-1.341135110659009e-01
1.742199515785987e+00,-1.353406125281498e-01
1.758021758853799e+00,-1.365676236418550e-01
1.773843569314867e+00,-1.377945435856662e-01
1.789664943271833e+00,-1.390213715382330e-01
1.805485876827337e+00,-1.402481066782050e-01
1.821306366084023e+00,-1.414747481842318e-01
1.837126407144532e+00,-1.427012952349630e-01
1.852945996111507e+00,-1.439277470090482e-01
1.868765129087588e+00,-1.451541026851370e-01
1.884583802175419e+00,-1.463803614418790e-01
1.900402011477641e+00,-1.476065224579239e-01
